,1,368,0,137,62,193,157,TARGET
0,23,39205.17,2,3,1,99,3,0
1,34,49278.03,2,6,1,3,3,0
2,23,67333.77,2,3,1,99,3,0
3,37,64007.97,2,3,1,2,3,0
4,39,117310.979016494,2,6,1,1,6,0
5,23,87975.75,2,3,1,99,3,0
6,27,94956.66,2,3,1,3,3,0
7,26,251638.95,2,3,1,2,3,0
8,45,101962.02,2,3,1,99,3,0
9,25,356463.06,2,3,1,2,3,0
10,42,125424.06,2,3,1,1,3,0
11,26,75368.52,2,3,1,99,3,0
12,51,122220.09,2,3,1,99,3,0
13,43,118436.97,2,6,1,1,6,0
14,33,95294.13,2,3,1,1,3,0
15,30,104403.87,2,3,1,99,3,0
16,44,117310.979016494,2,3,1,99,3,0
17,36,153014.13,2,3,1,1,3,0
18,55,168943.23,229,3,1,1,3,0
19,28,96601.14,2,3,1,3,3,0
20,23,69165.03,2,3,1,99,3,0
21,27,63445.56,2,3,1,3,3,0
22,35,117310.979016494,2,6,1,2,6,0
23,54,59575.62,2,3,1,2,3,0
24,42,117310.979016494,2,3,1,99,3,0
25,40,78390.81,2,3,1,1,3,0
26,23,86262.21,2,3,1,99,3,0
27,25,55568.1,2,3,1,99,3,0
28,24,34880.28,2,3,1,99,3,0
29,23,126815.97,2,3,1,2,3,0
30,14,101789.79,2,3,1,99,3,0
31,66,63324.9,2,3,1,99,3,1
32,26,123113.46,2,3,1,99,3,0
33,25,60115.23,2,3,1,1,3,0
34,42,117310.979016494,2,3,1,99,3,0
35,23,66112.08,2,3,1,99,3,0
36,39,47546.46,2,3,1,99,3,0
37,39,117310.979016494,2,3,1,1,3,0
38,23,44631.63,2,3,1,3,3,0
39,24,75546.15,2,3,1,3,3,0
40,50,112968.33,2,3,1,99,3,0
41,22,150347.88,2,3,1,0,3,0
42,25,96674.94,2,3,1,99,3,0
43,24,56161.53,2,3,1,99,3,0
44,62,123380.37,2,3,1,2,3,0
45,23,90175.05,2,3,1,99,3,0
46,23,155235.3,2,3,1,99,3,0
47,42,43998.48,2,6,1,3,3,0
48,24,114497.61,2,3,1,3,3,0
49,60,237000.24,2,3,1,99,3,0
50,42,245388.78,2,9,1,1,6,0
51,22,76889.91,2,3,1,0,3,0
52,64,84896.85,2,3,1,99,3,0
53,76,56913.06,178,3,1,3,0,0
54,26,55562.91,2,3,1,99,3,0
55,23,67685.46,2,3,1,1,3,0
56,40,44286.45,2,3,1,99,3,0
57,26,99522.72,2,3,1,99,3,0
58,31,101700.48,2,3,1,2,3,0
59,23,336550.11,2,3,1,3,3,0
60,38,149904.78,2,3,1,1,3,0
61,41,59325.75,2,6,1,1,6,0
62,23,51689.55,2,3,1,99,3,0
63,26,191661.84,2,3,1,99,3,0
64,25,169579.74,2,3,1,3,3,0
65,56,95834.85,2,3,1,99,3,0
66,26,39305.16,2,3,1,3,3,0
67,23,41807.67,2,3,1,3,3,0
68,23,165258.42,2,3,1,99,3,0
69,24,36490.74,2,3,1,99,3,0
70,23,117310.979016494,2,3,1,99,3,0
71,28,27443.34,2,3,1,1,3,0
72,35,65554.47,2,0,0,3,0,0
73,24,54182.85,2,3,1,3,3,0
74,25,150676.41,2,3,1,99,3,0
75,51,41508.24,2,6,1,1,6,0
76,72,117310.979016494,2,3,1,99,3,0
77,25,105994.47,2,3,1,3,3,0
78,23,117310.979016494,2,3,1,3,3,0
79,24,117310.979016494,2,3,1,99,3,0
80,45,124988.25,2,3,1,1,3,1
81,23,190417.68,2,3,1,99,3,0
82,27,125764.98,2,3,1,99,3,0
83,36,255365.25,2,9,1,3,6,0
84,23,472322.1,2,3,1,3,3,0
85,23,204085.62,2,3,1,99,3,0
86,26,117310.979016494,2,3,1,99,3,0
87,23,101485.23,2,3,1,2,3,0
88,44,174881.82,2,3,1,99,3,0
89,68,117310.979016494,2,3,1,2,3,0
90,5,102074.61,0,3,1,1,3,0
91,25,48160.14,2,3,1,1,3,0
92,25,83856.36,2,3,1,1,3,0
93,72,117310.979016494,2,3,1,1,3,0
94,23,149896.02,2,3,1,99,3,0
95,25,158522.37,2,3,1,3,3,0
96,23,208818.99,2,3,1,3,3,0
97,56,23169.78,2,3,1,99,3,0
98,25,200807.07,2,3,1,99,3,0
99,23,165635.1,2,3,1,3,3,0
100,23,64978.32,2,3,1,99,3,0
101,33,395158.38,2,3,1,3,3,0
102,23,40034.1,2,3,1,1,3,0
103,23,117310.979016494,2,3,1,99,3,0
104,77,49965.87,2,6,1,3,3,0
105,28,93861.78,2,3,1,99,3,0
106,29,194717.55,2,3,1,2,3,0
107,42,52629.36,2,3,1,3,3,0
108,25,70804.53,2,3,1,3,3,0
109,38,117310.979016494,2,3,1,99,3,0
110,45,84785.85,2,3,1,99,3,0
111,30,69981.72,2,3,1,3,3,0
112,40,75410.37,2,3,1,1,3,0
113,76,53029.5,2,12,1,2,9,0
114,37,45221.04,2,3,1,1,3,0
115,23,44064.93,2,3,1,3,3,0
116,23,59163.0,2,3,1,99,3,0
117,55,117310.979016494,2,3,1,1,3,0
118,23,100797.03,2,3,1,99,3,0
119,54,89774.01,8,3,1,1,3,0
120,35,117310.979016494,2,3,1,1,3,0
121,30,65978.88,2,3,1,3,3,0
122,42,69591.48,2,6,1,1,3,1
123,23,185447.22,2,3,1,99,3,0
124,28,84396.69,2,3,1,99,3,0
125,23,58777.29,2,3,1,2,3,0
126,23,105520.71,2,3,1,3,3,0
127,31,131774.97,3,0,0,99,0,0
128,41,86507.55,2,3,1,2,3,0
129,28,64311.36,2,3,1,1,3,0
130,24,294013.05,2,3,1,99,3,0
131,63,186236.34,2,6,1,2,3,0
132,23,117310.979016494,2,3,1,99,3,0
133,38,69048.78,2,3,1,99,3,0
134,43,117310.979016494,2,6,1,3,3,0
135,45,86410.5,2,6,1,2,6,0
136,23,130432.38,2,3,1,3,3,0
137,27,108845.91,2,3,1,3,3,0
138,23,65222.07,2,3,1,99,3,0
139,32,101456.79,2,3,1,1,3,0
140,57,210509.67,2,3,1,1,3,0
141,36,89128.44,2,3,1,99,3,0
142,36,57912.57,2,6,1,3,6,0
143,23,45928.5,2,3,1,3,3,0
144,28,91723.26,2,3,1,99,3,0
145,34,30024.12,2,3,1,3,3,0
146,23,117310.979016494,2,3,1,99,3,0
147,55,110976.39,2,6,1,2,3,0
148,80,96648.51,2,3,1,1,3,0
149,37,117310.979016494,2,6,1,3,3,0
150,51,79014.9,2,3,1,3,3,0
151,29,111410.58,2,3,1,3,3,0
152,31,56467.44,2,3,1,99,3,0
153,26,42978.45,2,3,1,99,3,0
154,25,61648.44,2,3,1,99,3,0
155,23,117310.979016494,2,3,1,3,3,0
156,38,58084.53,2,3,1,99,3,0
157,55,117310.979016494,2,3,1,99,3,0
158,60,239396.13,2,9,1,2,6,0
159,24,79688.37,2,3,1,3,3,0
160,26,71930.34,2,3,1,3,3,0
161,31,117310.979016494,2,3,1,99,3,0
162,31,45265.38,2,3,1,99,3,1
163,62,109595.55,2,3,1,99,3,1
164,27,117310.979016494,2,3,1,99,3,0
165,56,63648.57,4,3,1,2,3,0
166,52,81591.75,2,3,1,2,3,0
167,24,117310.979016494,2,3,1,1,3,0
168,29,36969.45,2,3,1,99,3,0
169,23,48426.3,2,3,1,3,3,0
170,23,95712.93,2,3,1,3,3,0
171,32,54689.01,2,3,1,2,3,0
172,38,117310.979016494,2,9,1,3,6,0
173,24,157526.34,2,3,1,3,3,0
174,24,95251.92,2,3,1,3,3,1
175,23,68632.98,2,3,1,3,3,0
176,23,203424.36,2,3,1,99,3,0
177,23,117310.979016494,2,3,1,99,3,0
178,23,117310.979016494,2,3,1,99,3,0
