feature,fscore
var15,690
saldo_var30,513
saldo_medio_var5_hace2,312
num_var22_ult3,296
saldo_var5,285
num_var45_hace3,274
num_var22_ult1,257
imp_op_var41_ult1,254
saldo_medio_var5_hace3,250
num_var22_hace3,239
var38,225
imp_op_var41_efect_ult3,215
num_var22_hace2,213
num_var45_ult3,190
imp_ent_var16_ult1,189
imp_op_var41_efect_ult1,178
num_var45_ult1,178
saldo_medio_var5_ult1,164
saldo_medio_var8_ult1,164
num_var45_hace2,146
saldo_medio_var5_ult3,133
imp_op_var39_comer_ult3,131
num_op_var41_ult3,124
ind_var8_0,117
imp_op_var39_comer_ult1,108
imp_var43_emit_ult1,107
num_var42_0,105
imp_sal_var16_ult1,104
imp_op_var39_ult1,92
num_op_var39_efect_ult1,86
var36,79
num_op_var41_ult1,79
num_med_var45_ult3,78
num_var4,74
num_op_var41_efect_ult1,69
num_ent_var16_ult1,69
num_meses_var39_vig_ult3,64
var3,61
num_op_var41_hace2,59
num_meses_var5_ult3,55
saldo_medio_var8_hace2,54
num_var37_med_ult2,52
imp_trans_var37_ult1,51
imp_op_var41_comer_ult1,46
num_var26_0,46
imp_op_var39_efect_ult1,40
ind_var26_cte,40
num_op_var39_comer_ult3,40
num_op_var41_efect_ult3,39
imp_var7_recib_ult1,36
num_op_var39_comer_ult1,32
saldo_var8,31
saldo_var37,29
saldo_var42,28
ind_var25_cte,26
saldo_medio_var8_ult3,24
num_var43_emit_ult1,23
saldo_medio_var12_hace2,23
num_var30,23
ind_var5_0,23
imp_compra_var44_ult1,23
num_op_var39_hace2,21
num_op_var39_ult1,21
imp_reemb_var17_ult1,20
num_var25_0,18
ind_var10cte_ult1,16
num_sal_var16_ult1,15
ind_var9_cte_ult1,15
num_var43_recib_ult1,15
ind_var24_0,14
saldo_var1,14
num_var42,14
num_op_var41_hace3,13
imp_op_var40_efect_ult1,13
num_var35,13
ind_var37_0,13
saldo_var25,12
num_var37_0,11
num_op_var40_hace2,11
saldo_medio_var17_ult1,11
saldo_var26,11
saldo_var31,11
num_var5,10
num_aport_var17_ult1,10
ind_var1_0,10
imp_aport_var17_ult1,9
num_meses_var8_ult3,9
var21,8
num_var39_0,8
num_op_var41_comer_ult3,8
imp_op_var41_comer_ult3,8
num_var41_0,8
num_var17,8
ind_var12_0,6
num_op_var40_comer_ult3,4
saldo_medio_var8_hace3,3
num_trasp_var11_ult1,3
ind_var14_0,3
num_var30_0,3
imp_op_var40_comer_ult3,3
saldo_medio_var12_ult1,3
num_op_var41_comer_ult1,2
ind_var5,2
num_var17_0,2
num_var31,2
ind_var37_cte,1
saldo_medio_var17_ult3,1
saldo_var14,1
saldo_medio_var12_hace3,1
num_var32_0,1
num_op_var40_ult3,1
saldo_var17,1
